art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
167;Bases Redondas Icopor  # 17 X 200 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;167;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;128;29;89
175;Bandeja Darnel # 6 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;175;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;313;58;216
177;Bases Redondas Icopor #24.5 Cm X 200 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;177;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;103;30;71
189;Sopero 16 Oz  Con Tapa Espumado X 20 Und;2008;901418981;g;IVA19;;Articulo;MERCANCIA;;7702458019926;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;147;51;101
200;Bolsa 25 Kg Cuero Vaca X 50 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;200;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;62;1;43
227;Bandeja Darnel # 7 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;227;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;145;4;100
229;Bandeja Darnel # 9 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;229;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;300;200;201
271;Molde De Aluminio Darnel 24 Oz X 500 Und;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;271;;Activo;true;;;1584;564;;;;3638;NOAPLICA;;;;;;360;35;248
295;Bandeja Darnel # 4 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;295;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;220;3;151
371;Bandeja Darnel # 8 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;371;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;252;3;174
389;Manga Desechable Economica X Unid;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;389;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1791;19;1235
410;Triangular 8 Oz X 200 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;410;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;458;11;316
435;Arroz Soplado Blanco X 500 Gr;1855;901418981;g;IVA19;;Articulo;MERCANCIA;;7709990924374;;Activo;true;;;1574;563;;;;3639;NOAPLICA;;;;;;11;8;7
500;Lluvia de Chocolate Nacional x500Gr;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;500;;Activo;true;;;1577;563;;;;3641;NOAPLICA;;;;;;35;20;22
741;Bandeja Darnel # 10 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;741;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;250;9;167
767;Porta Hamburguesa C1 X 500 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;767;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;200;39;138
845;Gelatina Sin Sabor Vallelindo X 500 Gr;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;7709990337853;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;64;1;44
869;Tapa Plana 8 Oz  X 200 Und;2008;901418981;g;IVA19;;Articulo;MERCANCIA;;869;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;517;25;357
1000;Palo Para Bombombun;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;1000;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;26;10;18
1180;Chocolat Granuladocrocantefleischmanx1Kg;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;7897077804388;;Activo;true;;;1577;563;;;;3639;NOAPLICA;;;;;;28000;20;18200
1460;Anis X Gr;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;1460;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;18000;5;11700
1811;MYM de Chocolate de Colores x 500GR;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;1811;;Activo;true;;;1577;563;;;;3639;NOAPLICA;;;;;;48;25;33
2270;Uvas Pasas X 10 Kg;2057;901418981;g;;;Articulo;MERCANCIA;;2270;;Activo;false;;;1585;547;;;;3639;NOAPLICA;;;;;;11;6;7
4165;Glucosa Colorisa X 5000 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175887131;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;12;80;8
4350;Ciruelas Pasas X 10 Kg;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;4350;;Activo;true;;;1585;547;;;;3639;NOAPLICA;;;;;;19;12;13
7000;Crema Chantilly Nutresa X 1000 Gr;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;7702007265514;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;38;52;26
7650;Hy-Vol Richs X  Tarro 2040 Gr;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;049800692350;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;120000;8;43
8000;Coco Desh Cabello Angel Tropicocox1000Gr;2057;901418981;g;;;Articulo;MERCANCIA;;7707338560123;;Activo;false;;;1585;547;;;;3641;NOAPLICA;;;;;;87;20;60
9400;Chips Chocolate Negro A Granel X 12.5 Kg;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;9400;;Activo;true;;;1577;563;;;;3641;NOAPLICA;;;;;;23;61;16
9775;Galleta De Chte Recreo Triturada X 1 Kg;1980;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702025123285;;Activo;true;;;1580;565;;;;3641;NOAPLICA;;;;;;100;8;69
10000;Arequipe El Corral Tapa Roja X 5 Kg;2071;901418981;UND;;;Articulo;MERCANCIA;;10000;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;12;5;9
11250;Avena Molida Don Pancho X 12 Kg;1855;901418981;g;IVA 5%;;Articulo;MERCANCIA;;11250;;Activo;true;;;1574;563;;;;3639;NOAPLICA;;;;;;9;1;6
11825;LEVADURA SECA INSTANT SUCCESS X 500 GR;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;11825;;Activo;true;;;1585;547;;;;3639;NOAPLICA;;;;;;22;10;16
13000;Cobertura Chocolate Italo X 500 Gr;1938;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702117015481;;Activo;true;;;1577;563;;;;3641;NOAPLICA;;;;;;24;2;16
15000;Grasa Astra Reposteria X 15 Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;15000;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;12;4;8
15600;Propianato De Calcio X 12 Kg;2071;901418981;g;IVA19;;Articulo;MERCANCIA;;15600;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;20;5;13
18530;Frutas Cristalizada X  2Kg;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;7705124175476;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;8;24;6
24000;Cernido de Guayaba Express x12Kg;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;24000;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;4;1;3
29835;Gragea Colores Italo X 3000 Gr;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;29835;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;13;51;9
35750;Bianchi Chocolate Negro X 500 Gr;1938;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702993031056;;Activo;true;;;1577;563;;;;3641;NOAPLICA;;;;;;8700;6;17
55150;Buñuelo Express X 12 Kg;2057;901418981;g;IVA19;;Articulo;MERCANCIA;;55150;;Activo;true;;;1585;547;;;;3639;NOAPLICA;;;;;;7;10;5
