art_codigo;art_nombre;art_subgrupo;art_empresa;art_medida;art_tarifa;art_descripcion;art_tipoarticulo;art_tipodestino;art_tarifa_consumo;art_referencia;art_econ_codigo;art_estado;art_gravado;art_img_nombre;art_img_ubicacion;gru_id;tip_id;art_tienetarifacondicionada;art_nrouvt_tarifacondicion;art_tarifacondicionada;econ_id;tir_codigo;art_dia_sin_iva;artdpto_id;art_peso;art_tarifa_consumo_esp;art_tarcons_mayorvlriva;art_precio_venta;art_cantidad;art_precio_costo
1207;Molde Para Torta Redondo X 1/2 Libras;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1207;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;12084;4;8334
1208;Molde Para Torta Redondo X 1/4 Libras;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1208;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;11000;4;6649
1209;Molde Para Torta Redondo X 1/8 Libras;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1209;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;8332;4;5746
1210;Molde Para Torta Redondo X 1 1/2 Libras;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1210;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;20543;4;14168
1225;Esencia Queso Gourmet 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709990511383;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1816;4;1252
1321;Esencia Vainilla Negra Gourmet  X 3850Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073356;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;37901;5;26138
137;Muuu Galleta De Leche Paq X 18 Unid;1980;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702011070371;;Activo;true;;;1580;565;;;;3639;NOAPLICA;;;;;;2800;4;2686
1429;Vaso 3.3 Oz Color Verde X 50;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709326271288;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1827;5;1260
1467;Porta Comida P1 Blanco X Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;1467;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;438;6;302
1476;Colorante Liquido Negro Colorisa  X 7 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880415;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;3500;9;2327
1487;Colorante Liquido Rosado Jg  X 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880378;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;13404;5;9244
1488;Colorante Liquido Azul Jg  X 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880071;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;11145;1;7686
1519;Molde Para Chocolate Figuras Colorisaxud;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;1519;;Activo;true;;;1584;564;;;;3637;NOAPLICA;;;;;;4688;8;3233
154;Cucharas Tami X 20 Und;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667176516;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1743;6;1202
1583;Gelatina Frutiño Sin Sabor X 30 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702354009397;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;1722;8;1187
1607;Guantes Cocina Alumar;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;8854700000394;;Activo;true;;;1579;564;;;;3637;NOAPLICA;;;;;;1748;9;1205
1670;Platos Pandos Darnel 20 X 23 Cm;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667223814;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;5185;10;3576
1711;Lexi Fondant Verdenavidadsugarcraptx500G;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7597304218918;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;1861;30;1283
1713;Lexi Fondant Verdemanzanasugarcraptx500G;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7597304218796;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;1863;2;1285
1725;Cernido De Guayaba Frutirrey X 12 Kg;2057;901418981;g;;;Articulo;MERCANCIA;;1725;;Activo;false;;;1585;547;;;;3641;NOAPLICA;;;;;;5;24000;4
1786;Esencia Vainilla Blanca Duque X 500 Cm3;2071;901418981;UND;IVA 5%;;Articulo;MERCANCIA;;7707159001133;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1827;3;1260
1787;Esencia Kola Duque X 500 Cm3;2071;901418981;UND;IVA 5%;;Articulo;MERCANCIA;;7707159001119;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1645;30;1134
1795;Colorante Liquido Piel Colorisa  X 7 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880613;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;1952;6;1346
1797;Colorante Liquido Azul Colorisa  X 12 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880064;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;3500;5;2340
1804;Colorante Liquido Rojo Colorisa  X 12 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880118;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;3500;3;2273
1810;Champaña Drumanti Uva  X 750 Ml;2057;901418981;UND;IVA 5%;;Articulo;MERCANCIA;;7705497834574;;Activo;true;;;1585;547;;;;3641;NOAPLICA;;;;;;1968;0;1358
1847;Colorante Liquido Amarillo Jg  X 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880026;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;2009;2;1385
1853;Pelicula Transp Darnel Wrap 12 X 200 Ft;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;645667090287;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;8440;18;5821
1885;Mani Triturado Del Nogal X Gr;2071;901418981;g;;;Articulo;MERCANCIA;;1885;;Activo;false;;;1586;547;;;;3641;NOAPLICA;;;;;;15;24;11
1893;Acople Grande X Unid;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175882464;;Activo;true;;;1585;547;;;;3637;NOAPLICA;;;;;;4000;17;2372
2004;Esencia Vainilla Negra Duque X 500 Cm3;2071;901418981;UND;IVA 5%;;Articulo;MERCANCIA;;2004;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1579;10;1089
2098;Molde Corazon X 1/4 Lb Del Norte;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;2098;;Activo;true;;;1584;564;;;;3637;NOAPLICA;;;;;;13612;8;9388
21252;Bocadillo De Guayaba Frutirrey  X 6250G;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;21252;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;52459;24;36179
225;Pitillos  Bambu X Paquete;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7709009335122;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2000;1;1578
228;Galleta Oreo Orig Paq X 12 Unid;1980;901418981;UND;IVA19;;Articulo;MERCANCIA;;7590011151110;;Activo;true;;;1580;565;;;;3639;NOAPLICA;;;;;;7500;3;5837
2318;Color Caramelo Carolesen X 155 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175885410;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;2975;4;2051
233;Crema De Leche Parmalat Bolsa X1.1Litros;2071;901418981;UND;;;Articulo;MERCANCIA;;7700604045348;;Activo;false;;;1586;547;;;;3641;NOAPLICA;;;;;;12500;4;8125
2340;GELATINA GELHADA CEREZA X 40 GR;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702014502046;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;1200;4;742
2341;GELATINA GELHADA FRAMBUESA X 40 GR;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2341;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1200;11;683
2346;GELATINA GELHADA FRESA X 40 GR;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2346;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1200;12;748
2349;Crema De Leche Alqueria X 450 Gr;2071;901418981;UND;;;Articulo;MERCANCIA;;7702177020029;;Activo;false;;;1586;547;;;;3641;NOAPLICA;;;;;;2555;4;1762
2439;Colorante Liquido Rojo Colorisa  X 60 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880125;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;2652;8;1829
248;Arequipe La Vakanisima X 500 Gr X 36 Und;2071;901418981;UND;;;Articulo;MERCANCIA;;7707268638114;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;4000;7;3390
249;Arequipe Vakanisima X 1000 Gr X 20 Und;2071;901418981;UND;;;Articulo;MERCANCIA;;7707268631863;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;6500;5;5897
252;Leche Condensada Vakanisima X1000Grx20Ud;2071;901418981;UND;;;Articulo;MERCANCIA;;7707268632167;;Activo;false;;;1586;547;;;;3641;NOAPLICA;;;;;;6300;2;5889
262;Dulce De Leche Manga Del Corral X 1 Kg C;2071;901418981;UND;;;Articulo;MERCANCIA;;7709022126226;;Activo;false;;;1586;547;;;;3639;NOAPLICA;;;;;;7800;12;8405
2643;Color Caramelo Gourmet X 650 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073219;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;7070;10;4876
2646;Esencia Ponque Gourmet X  510 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073400;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;4508;7;3109
2701;Gelatina Sabrimax Sabor Uva X 500 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2701;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;2937;3;2026
274;Cocoa Superior Corona X 100 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702007031560;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;3500;5;2008
275;Cocoa Superior Corona X 230 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7702007031553;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;6000;6;3981
2849;Molde De Aluminio 104 Oz X 100 Und;2057;901418981;UND;IVA19;;Articulo;MERCANCIA;;2849;;Activo;true;;;1585;547;;;;3637;NOAPLICA;;;;;;2304;1;1589
2913;Esencia Hinojo Prodisabor X 500 Cc;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707373081423;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;7920;6;5462
2916;Esencia Arequipe Novasabor X 500 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2916;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;4447;15;3067
2918;Esencia Mantequilla Novasabor X 3850 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2918;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;26820;16;18497
2920;Esencia Vainilla Blanca Novasaborx3850Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;2920;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;24358;10;16798
2927;Molde De Silicona Para Ponque Press 29.5 X 22.5 X 3 Cm  X 12 Huecos;2050;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707175880668;;Activo;true;;;1584;564;;;;3641;NOAPLICA;;;;;;983;5;678
3016;Gelatina Sabrimax Sabor Piña X 500 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;3016;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;3280;3;2262
302;Bicarbonato De Sodio X 25 Kg;1938;901418981;g;IVA19;;Articulo;MERCANCIA;;302;;Activo;true;;;1577;563;;;;3641;NOAPLICA;;;;;;10000;27270;3
3074;Esencia Coco Novasabor X 500 Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;3074;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;6000;5;2773
3129;Esencia Banano Gourmet 60ML;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;3129;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;1816;8;1252
3243;Colorante Liquido Amarillo ColorisaX12Ml;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;3243;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;3460;7;2386
3319;Esencia Vainilla Blanca Prodisabor x65Cc;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;3319;;Activo;true;;;1586;547;;;;3639;NOAPLICA;;;;;;2315;3;1597
3333;Vinipel Rosado Ref 200;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;3333;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;13372;6;9222
337;Amarillo Huevo Deliaroma X 500 Gr;2071;901418981;UND;IVA19;;Articulo;MERCANCIA;;7708350073981;;Activo;true;;;1586;547;;;;3641;NOAPLICA;;;;;;11000;10;9952
339;Galletas Doricas X 5 Tacos X 24 Paq;1980;901418981;UND;IVA19;;Articulo;MERCANCIA;;7707028700297;;Activo;true;;;1580;565;;;;3641;NOAPLICA;;;;;;5500;100;5291
364;Vasos Super Practico Desechable 7 Oz X50;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;7703183382071;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2300;5;1640
374;Papel Parafinado Color X 20 Mts;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;374;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;8000;3;5047
380;Bolsa De 15 Kg X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;380;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;5500;2;4350
381;Bolsa De 10 Kg X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;381;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;4200;22;3290
382;Bolsa De 5 Kg X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;382;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;3500;26;2574
383;Bolsa De 3 Kg X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;383;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;2200;2;1806
384;Bolsa De 2 Kg X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;384;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;1800;6;883
388;Bolsa Para Hielo Normal X Paq;2008;901418981;UND;IVA19;;Articulo;MERCANCIA;;388;;Activo;true;;;1579;564;;;;3638;NOAPLICA;;;;;;700;6;416
